ticker_symbol,day_date,stock_performance,prev_avg_sentiment_score
AAPL,2015-08-18,decline,-0.4749910730136678
AAPL,2015-08-19,decline,-0.6396234783779357
AAPL,2015-08-20,decline,-0.6341757389192793
AAPL,2015-08-21,decline,-0.6604511096370067
AAPL,2015-08-24,decline,-0.6157023067075771
AAPL,2015-08-25,growth,-0.5085575238342588
AAPL,2015-08-26,growth,-0.591016506451919
AAPL,2015-08-27,growth,-0.6816750510644414
AAPL,2015-08-28,growth,-0.5849316831688248
AAPL,2015-08-31,decline,-0.7703277763929669
AAPL,2015-09-01,decline,-0.5528251333314864
AAPL,2015-09-02,growth,-0.5657373948592703
AAPL,2015-09-03,decline,-0.5451169475711292
AAPL,2015-09-04,decline,-0.5394035681071656
AAPL,2015-09-08,growth,-0.5831474989325136
AAPL,2015-09-09,decline,-0.5824213566688391
AAPL,2015-09-10,growth,-0.4607324245574548
AAPL,2015-09-11,growth,-0.5488791843791081
AAPL,2015-09-14,growth,-0.5331015737934245
AAPL,2015-09-15,growth,-0.4700842417519668
AAPL,2015-09-16,growth,-0.6046502045257061
AAPL,2015-09-17,decline,-0.6414324568901393
AAPL,2015-09-18,decline,-0.679074719121042
AAPL,2015-09-21,growth,-0.7569852044937193
AAPL,2015-09-22,decline,-0.524249396601834
AAPL,2015-09-23,growth,-0.5901769987206757
AAPL,2015-09-24,growth,-0.6287187372079944
AAPL,2015-09-25,decline,-0.5871925049886731
AAPL,2015-09-28,decline,-0.7775547493370092
AAPL,2015-09-29,decline,-0.4669532255913916
AAPL,2015-09-30,growth,-0.6297650284992637
AAPL,2015-10-01,decline,-0.5959964613569269
AAPL,2015-10-02,growth,-0.5632304220482621
AAPL,2015-10-05,growth,-0.358669072075894
AAPL,2015-10-06,growth,-0.5779063044003343
AAPL,2015-10-07,decline,-0.5025250213397177
AAPL,2015-10-08,decline,-0.6394311978469197
AAPL,2015-10-09,growth,-0.6874516063797668
AAPL,2015-10-12,decline,-0.7392662027915875
AAPL,2015-10-13,growth,-0.6443438335121675
AAPL,2015-10-14,decline,-0.5463119261605399
AAPL,2015-10-15,growth,-0.72096059097434
AAPL,2015-10-16,decline,-0.634850389292451
AAPL,2015-10-19,growth,-0.2850667582046632
AAPL,2015-10-20,growth,-0.4286424423649103
AAPL,2015-10-21,decline,-0.3681857550153991
AAPL,2015-10-22,growth,-0.5192556813446402
AAPL,2015-10-23,growth,-0.44733236170836
AAPL,2015-10-26,decline,-0.4867936375194776
AAPL,2015-10-27,decline,-0.5452667522933999
AAPL,2015-10-28,growth,-0.5227836603251508
AAPL,2015-10-29,growth,-0.5175810442588565
AAPL,2015-10-30,decline,-0.5045338365244294
AAPL,2015-11-02,growth,-0.4338741039581529
AAPL,2015-11-03,growth,-0.5479482788652051
AAPL,2015-11-04,decline,-0.4836879829185752
AAPL,2015-11-05,decline,-0.4690740357290159
AAPL,2015-11-06,growth,-0.5393165221437812
AAPL,2015-11-09,decline,-0.5521640842960727
AAPL,2015-11-10,decline,-0.6578308456652874
AAPL,2015-11-11,decline,-0.6399505506321292
AAPL,2015-11-12,decline,-0.6158590201699436
AAPL,2015-11-13,decline,-0.618397438273413
AAPL,2015-11-16,growth,-0.4521574217539567
AAPL,2015-11-17,decline,-0.540931888564883
AAPL,2015-11-18,growth,-0.5502828907205335
AAPL,2015-11-19,growth,-0.4974550989099763
AAPL,2015-11-20,growth,-0.5277212082126022
AAPL,2015-11-23,decline,-0.5247588481274119
AAPL,2015-11-24,growth,-0.5381834087919455
AAPL,2015-11-25,decline,-0.5201521543201041
AAPL,2015-11-27,decline,-0.5110620593152395
AAPL,2015-11-30,growth,-0.5537610763105852
AAPL,2015-12-01,decline,-0.5207487703601827
AAPL,2015-12-02,decline,-0.5820543935371972
AAPL,2015-12-03,decline,-0.6690012880057006
AAPL,2015-12-04,growth,-0.6212489454823539
AAPL,2015-12-07,decline,-0.5124427471498046
AAPL,2015-12-08,decline,-0.6233425656688651
